2,2024-05-18 21:45:00,2024-05-24 09:51:23.841708,2024-05-24 09:51:23.841708,1
3,2024-05-15 20:46:00,2024-05-24 09:51:23.861083,2024-05-24 09:51:23.861083,1
5,2024-05-08 12:34:00,2024-05-24 09:51:23.890405,2024-05-24 09:51:23.890405,1
8,2024-04-24 16:41:00,2024-05-24 09:51:23.902022,2024-05-24 09:51:23.902022,1
9,2024-04-22 20:05:00,2024-05-24 09:51:23.906438,2024-05-24 09:51:23.906438,1
10,2024-04-19 11:42:00,2024-05-24 09:51:23.910405,2024-05-24 09:51:23.910405,1
11,2024-04-16 14:53:00,2024-05-24 09:51:23.914516,2024-05-24 09:51:23.914516,1
12,2024-04-15 07:25:00,2024-05-24 09:51:23.91788,2024-05-24 09:51:23.91788,1
13,2024-04-06 13:38:00,2024-05-24 09:51:23.921662,2024-05-24 09:51:23.921662,1
14,2024-04-02 20:12:00,2024-05-24 09:51:23.92622,2024-05-24 09:51:23.92622,1
15,2024-03-24 01:34:00,2024-05-24 14:38:45.048251,2024-05-24 14:38:45.048251,1
16,2024-03-22 02:57:00,2024-05-24 14:39:08.703794,2024-05-24 14:39:08.703794,1
17,2024-03-15 17:42:00,2024-05-24 14:39:19.069857,2024-05-24 14:39:19.069857,1
18,2024-03-12 18:05:00,2024-05-24 14:39:35.703633,2024-05-24 14:39:35.703633,1
19,2024-03-01 19:12:00,2024-05-24 14:39:49.584768,2024-05-24 14:39:49.584768,1
20,2024-02-22 02:53:00,2024-05-24 14:40:13.089177,2024-05-24 14:40:13.089177,1
21,2024-02-20 21:08:00,2024-05-24 14:40:29.197479,2024-05-24 14:40:29.197479,1
22,2024-02-17 21:08:00,2024-05-24 14:40:42.756689,2024-05-24 14:40:42.756689,1
23,2024-02-09 18:03:00,2024-05-24 14:40:53.891409,2024-05-24 14:40:53.891409,1
24,2024-01-29 10:08:00,2024-05-24 14:41:18.522112,2024-05-24 14:41:18.522112,1
25,2024-01-21 21:31:00,2024-05-24 14:41:31.092848,2024-05-24 14:41:31.092848,1
26,2024-01-21 05:16:00,2024-05-24 14:41:42.570237,2024-05-24 14:41:42.570237,1
27,2024-01-08 00:45:00,2024-05-24 14:41:55.854026,2024-05-24 14:41:55.854026,1
28,2023-12-12 01:20:00,2024-05-24 14:42:59.492407,2024-05-24 14:42:59.492407,1
29,2023-12-02 07:36:00,2024-05-24 14:43:11.582745,2024-05-24 14:43:11.582745,1
30,2023-11-20 17:52:00,2024-05-24 14:43:25.366421,2024-05-24 14:43:25.366421,1
31,2023-11-17 19:01:00,2024-05-24 14:43:37.578318,2024-05-24 14:43:37.578318,1
32,2023-11-16 17:49:00,2024-05-24 14:43:52.573074,2024-05-24 14:43:52.573074,1
33,2023-11-09 00:44:00,2024-05-24 14:44:11.071233,2024-05-24 14:44:11.071233,1
34,2023-11-06 18:43:00,2024-05-24 14:44:31.585794,2024-05-24 14:44:31.585794,1
35,2023-11-05 13:21:00,2024-05-24 14:45:05.803104,2024-05-24 14:45:05.803104,1
36,2023-11-03 11:40:00,2024-05-24 14:45:18.935913,2024-05-24 14:45:18.935913,1
37,2023-11-02 11:27:00,2024-05-24 14:45:31.710798,2024-05-24 14:45:31.710798,1
38,2023-10-31 19:54:00,2024-05-24 14:45:50.75784,2024-05-24 14:45:50.75784,1
39,2023-10-17 16:23:00,2024-05-24 14:46:03.801395,2024-05-24 14:46:03.801395,1
40,2023-10-13 21:00:00,2024-05-24 14:46:16.755297,2024-05-24 14:46:16.755297,1
41,2023-10-05 17:46:00,2024-05-24 14:46:43.740766,2024-05-24 14:46:43.740766,1
42,2023-10-03 20:11:00,2024-05-24 14:47:02.22185,2024-05-24 14:47:02.22185,1
43,2023-09-23 22:29:00,2024-05-24 14:47:17.63322,2024-05-24 14:47:17.63322,1
44,2023-09-06 22:25:00,2024-05-24 14:47:30.96324,2024-05-24 14:47:30.96324,1
45,2023-08-30 23:36:00,2024-05-24 14:47:43.865272,2024-05-24 14:47:43.865272,1
46,2023-07-30 17:10:00,2024-05-24 14:47:53.920504,2024-05-24 14:47:53.920504,1
47,2023-07-29 23:36:00,2024-05-24 14:48:07.266141,2024-05-24 14:48:07.266141,1
48,2023-07-28 15:02:00,2024-05-24 14:48:21.14185,2024-05-24 14:48:21.14185,1
49,2023-07-25 02:30:00,2024-05-24 14:48:38.315547,2024-05-24 14:48:38.315547,1
50,2023-07-23 15:21:00,2024-05-24 14:49:09.39953,2024-05-24 14:49:09.39953,1
51,2023-07-02 18:35:00,2024-05-24 14:49:20.434383,2024-05-24 14:49:20.434383,1
53,2023-05-29 22:45:00,2024-05-24 14:49:52.996327,2024-05-24 14:49:52.996327,1
54,2023-05-20 21:29:00,2024-05-24 14:50:07.815723,2024-05-24 14:50:07.815723,1
55,2023-05-14 23:02:00,2024-05-24 14:50:17.835459,2024-05-24 14:50:17.835459,1
56,2023-03-23 05:50:00,2024-05-24 14:50:33.660474,2024-05-24 14:50:33.660474,1
57,2023-03-07 17:48:00,2024-05-24 14:50:43.629609,2024-05-24 14:50:43.629609,1
58,2023-02-27 19:18:00,2024-05-24 14:51:28.974404,2024-05-24 14:51:28.974404,1
59,2023-02-26 17:45:00,2024-05-24 14:51:36.84085,2024-05-24 14:51:36.84085,1
60,2023-01-21 20:59:00,2024-05-24 14:51:51.304472,2024-05-24 14:51:51.304472,1
61,2023-01-15 17:03:00,2024-05-24 14:52:08.861191,2024-05-24 14:52:08.861191,1
62,2023-01-06 10:07:00,2024-05-24 14:52:24.849644,2024-05-24 14:52:24.849644,1
63,2022-11-20 20:57:00,2024-05-24 14:52:39.985273,2024-05-24 14:52:39.985273,1
64,2022-10-30 20:27:00,2024-05-24 15:02:17.307698,2024-05-24 15:02:17.307698,1
65,2022-10-22 19:48:00,2024-05-24 15:02:34.657186,2024-05-24 15:02:34.657186,1
66,2022-10-18 11:02:00,2024-05-24 15:02:50.871107,2024-05-24 15:02:50.871107,1
67,2022-10-14 10:27:00,2024-05-24 15:03:03.870353,2024-05-24 15:03:03.870353,1
68,2022-10-13 21:35:00,2024-05-24 15:03:18.435978,2024-05-24 15:03:18.435978,1
69,2022-10-09 14:50:00,2024-05-24 15:03:37.459136,2024-05-24 15:03:37.459136,1
70,2022-10-01 16:17:00,2024-05-24 15:03:49.383322,2024-05-24 15:03:49.383322,1
71,2022-09-28 06:07:00,2024-05-24 15:04:07.459467,2024-05-24 15:04:07.459467,1
72,2022-09-26 20:07:00,2024-05-24 15:04:34.526678,2024-05-24 15:04:34.526678,1
73,2022-09-18 00:11:00,2024-05-24 15:04:49.959676,2024-05-24 15:04:49.959676,1
74,2022-09-12 08:04:00,2024-05-24 15:05:03.582023,2024-05-24 15:05:03.582023,1
75,2022-08-17 20:38:00,2024-05-24 15:05:29.152113,2024-05-24 15:05:29.152113,1
76,2022-06-30 02:15:00,2024-05-24 15:05:42.837982,2024-05-24 15:05:42.837982,1
77,2022-06-19 20:17:00,2024-05-24 15:05:59.926722,2024-05-24 15:05:59.926722,1
78,2022-06-16 00:09:00,2024-05-24 15:06:18.201144,2024-05-24 15:06:18.201144,1
79,2022-04-27 02:43:00,2024-05-24 15:06:40.012714,2024-05-24 15:06:40.012714,1
80,2022-04-24 03:00:00,2024-05-24 15:09:43.670467,2024-05-24 15:09:43.670467,1
81,2022-04-17 21:54:00,2024-05-24 15:09:59.125836,2024-05-24 15:09:59.125836,1
82,2022-04-02 21:26:00,2024-05-24 15:10:11.046338,2024-05-24 15:10:11.046338,1
83,2022-03-31 17:51:00,2024-05-24 15:10:24.734751,2024-05-24 15:10:24.734751,1
